0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
car,condition,shipping,sell,helmet,bike,sale,price,excellent,old,offer,probe,mile,solar,manual,water,model,tire,pair,ride,chain,wax,road,engine,hole,clean,shape,scope,orbit,gear,temperature,toyota,ames,oil,energy,ear,real,bought,big,dealer,small,nasa,pad,torque,month,perfect,harddisk,less,original,fuel
trial,thread,sabbath,fuhr,bush,cat,abortion,achieve,rushdie,objection,imake,tyre,bastard,arrogance,annoy,mental,secular,matter,mystery,hell,creator,agree,messiah,assertion,bishop,rule,qur,glad,mistake,dispute,rosicrucian,weaver,selfish,disagree,oops,clarify,phill,situation,reader,accidental,zeus,university,rochester,judge,russell,makefile,expect,vat,income,marriage
dod,tek,queen,photography,ico,sea,kirlian,solder,cview,stay,student,technician,keywords,sarcasm,sig,colour,freenet,tiger,irony,rec,bout,cleveland,gamma,guitar,rgb,speed,loop,cream,distribution,auto,ride,silver,away,thrown,mine,mobile,org,mel,pillion,smoker,lonestar,richardson,bike,jennifer,columbus,expose,rig,choice,grad,watt
armenian,muslim,greek,turkish,armenia,turk,azeri,turkey,bosnian,azerbaijan,spell,greece,serb,ottoman,azerbaijani,cyprus,henrik,convertible,soldier,island,slaughter,saudi,yep,arabia,iraq,yugoslavia,karabakh,british,village,moa,lilley,invade,bulb,moscow,empire,kuwait,saddam,mot,postage,calcium,invasion,zionism,chris,manchester,baku,east,croatia,gnp,serbia,mcguire
card,windows,disk,mac,monitor,driver,software,computer,machine,scsi,video,bit,board,apple,modem,mhz,port,price,program,color,memory,screen,chip,meg,file,controller,data,sale,ram,version,mode,bus,sell,graphic,info,support,printer,offer,mouse,speed,floppy,pin,display,cable,hardware,advance,ide,power,upgrade,ibm
game,team,player,hockey,play,fan,win,season,playoff,baseball,score,watch,espn,league,night,nhl,car,pen,ranger,leaf,sport,trade,boston,series,played,next,goal,cup,pick,lose,chicago,coach,guy,toronto,wing,sabre,city,devil,detroit,ice,cap,blue,week,three,buffalo,hit,mike,second,pittsburgh,home
irq,hawk,quebec,win,period,pit,min,blue,bos,det,printer,ink,tor,cal,goal,chi,gilmour,que,deskjet,winnipeg,game,calgary,nyi,jay,van,buf,overtime,alomar,mark,scorer,team,obp,clemens,paul,lindros,jet,uart,vancouver,shrink,packard,baerga,vote,hewlett,laser,king,player,blaster,habs,stl,shot
window,font,widget,xterm,application,program,draw,server,motif,event,manager,icon,color,simm,xlib,character,button,value,object,display,windows,resource,cursor,function,mask,text,width,bitmap,code,plane,create,null,location,polygon,pixel,ncd,app,truetype,terminal,callback,client,advance,schematic,default,pixmap,size,corel,xview,user,specify
file,ftp,program,image,format,graphic,windows,site,version,source,available,gif,advance,information,code,server,directory,library,convert,pub,info,mit,anybody,comp,copy,unix,software,internet,zip,motif,package,request,via,news,book,subject,nasa,archive,shareware,net,font,tiff,interested,user,compile,space,anonymous,display,computer,create
key,chip,clipper,encryption,phone,government,nsa,algorithm,encrypt,launch,space,security,escrow,law,crypto,secure,shuttle,secret,technology,bit,public,agency,data,cost,orbit,privacy,wiretap,warrant,pgp,scheme,communication,trust,company,court,satellite,proposal,enforcement,design,rsa,information,private,tap,hst,mission,legal,already,user,order,conversation,illegal
gun,state,government,fire,kill,law,child,fbi,weapon,arm,force,hand,world,war,american,control,country,guy,every,stop,report,maybe,area,through,big,book,money,ever,car,side,space,gas,claim,school,between,thought,koresh,crime,bill,end,police,left,power,though,away,news,large,batf,during,armenian
lens,seagate,slave,roger,okay,cobb,mpeg,captain,bill,syquest,conner,diesel,agree,prism,trade,paradox,nah,illinois,finnish,keenan,sector,mtu,supra,bake,panasonic,ireland,messier,hdd,sub,unused,fake,camera,henry,defect,timmons,ryan,uiuc,usl,cyl,continental,michael,scott,vatican,university,hughes,goddess,lemon,astronomy,omega,snail
gant,clutch,bhj,sho,giz,rush,film,cheat,opel,umpire,hirschbeck,lopez,eagle,horn,moment,uiuc,mod,horsepower,reverse,headache,qax,cox,grand,backing,realistic,dream,buick,regularly,hillary,air,sic,bxn,talon,beef,additive,dean,pete,otherwise,cso,perpetual,bite,narrow,performance,sabo,slump,exempt,biz,newbie,michael,ist
patient,disease,doctor,food,skepticism,treatment,pain,medical,infection,study,diet,therapy,physician,cell,drug,objective,eat,chronic,diagnose,blood,symptom,brain,survey,yes,allergic,reaction,sick,cure,kidney,treat,medication,yeast,stone,health,liver,vitamin,chinese,gay,seizure,chemical,hospital,lyme,subjective,med,normal,baby,usually,common,placebo,pill
bike,car,engine,battery,motorcycle,brake,amp,wheel,rear,honda,power,mile,front,ford,lock,oil,circuit,radio,speed,khz,ride,voltage,noise,frequency,turn,clutch,shaft,rider,cylinder,steer,shift,valve,filter,mustang,mph,tire,signal,audio,bmw,stereo,turbo,low,amplifier,band,design,switch,output,volt,seat,current
god,christian,jesus,religion,church,bible,belief,christ,faith,atheist,sin,homosexual,book,human,answer,christianity,claim,truth,moral,law,understand,religious,wrong,man,agree,example,exist,world,lord,catholic,atheism,heaven,different,child,quote,scripture,view,accept,quite,kent,meaning,son,nature,sex,hell,jew,islam,gay,paul,matter
